short_descriptions,assignment_groups
O365 Functional Mailbox DE  Unable to access the subfolders within functional mail box fcauthorizationprocesssupportnokiacom,SD_1stL_SD-UC_NSN_ENG_PH
Customized report for Bill Hoffman,I-Buy Process Support
PR18475 error GL acc 72170020 and cost center ID10002464 combination is not valid,I-Buy Process Support
PL  MTC reports issue,G SNOW PL SERVICE DESK
1 Please add the following users to server lines,G SNOW RU SERVICE DESK
Ticket 123416 Awaiting third party response Updated  IRMS access Dear colleagueI made a mistake wi,Service Desk - Non Sales
zscaler needs authentication,Service Desk - Non Sales
IE  edit user role,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
EEFS check who deleted the folder,SD_UC_CoCare_NSN_GL
Alternate Unit of measure from CS to KG is not maintained in GB11,PZC-FJ-ServiceDesk
Approval needed for a new laptop,SD_1stL_SD-UC_NSN_ENG_PH
Cant sync Veeva,Service Desk - Non Sales
Report Button not available in Outlook,SD_1stL_SD-UC_NSN_ENG_PH
Template for update optional role for functional profile BP ErnstYoung Tax and Statutory Reporting CALA,SD_UC_CoCare_NSN_GL
RE Priority 4 INC0344031 has been assigned to your group  User Account Form Approved  HarimaShigeaki GRAMS CREDO,Service Desk - Non Sales
WIN  Deleted File Retrieval,SD_1stL_SD-UC_NSN_ENG_PH
Edge Site  Planned Server Room Shutdown at Tuas Singapore RFC1368761,GBL-WTI-AHS UNIX L1
territory in veeva,Service Desk - Sales All
Video Conferencing No Network Connection ,SD_1stL_SD-UC_NSN_ENG_PH
amrndhs380pfizercomMultiple copyenvdailysh PIDs Detected Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveError Solaris Zone Host,GBL-WTI-AHS UNIX L1
Unable to Sent out Email,SD_1stL_SD-UC_NSN_ENG_PH
RNDHAMRCLS34BMemoryPhysical OverUtilized Intel,GBL-WTI-AHS WINTEL L1
DP Issue Failures for APAC8  BS aspvizava001 GP amrvwp000005910ImageBackup CT aspvizw014,GBL-WTI-AHS WINTEL L1
Unable to connect the outlook,Deskside Carnegie
Not able to jump on the server AMRDRMZ023 and AMRNDHS219,GBL-WTI-AHS UNIX L1
1st Contact SAP Applications  OBD issue with pl dlv time 4 days  A19847867 ,PZC-FJ-ServiceDesk
OneDrive  Windows Explorer limited permissions ,SD_1stL_SD-UC_NSN_ENG_PH
GR  new Shared Mailbox creation  Performance4GrowthGRCYcchelleniccom,G SNOW GR SERVICE DESK
Unable to send through Outlook,Service Desk - Non Sales
Plan Profile creation for two BY users in P03400,G SNOW RU SERVICE DESK
to use a functional account for jira issues,SD_UC_CoCare_NSN_GL
SAP ACCESS for RU702643 Elena Ahmetova,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assistance with logging into Citrix with MFA,Service Desk - Non Sales
Concur login issue ,Service Desk - Non Sales
SOFTWARE FMO Win10 PC crash,SD_1stL_SD-UC_NSN_ENG_PH
Urgent PR20064 to be approved from backend ,I-Buy Process Support
Not able to get signed in to iPhone Outlook,Service Desk - Non Sales
FW Ariba Access,Service Desk - Non Sales
Unable to make a call on the HCP ,Service Desk - Sales All
user is not able to change password,Service Desk - Non Sales
Unable to access GIT lab,SD_UC_CoCare_NSN_GL
Request  RITM2599631IncorrectIncomplete fulfillment of Service Request,SD_1stL_SD-UC_NSN_ENG_PH
HARDWARE  Hard Disk Error and Battery Issue ,SD_1stL_SD-UC_NSN_ENG_PH
RP NSAUNIX Request20190827080423885,GBL-WTI-AHS UNIX L1
Software Center not launching successfully,SD_1stL_SD-UC_NSN_ENG_PH
Otsuka MYCITEUS Box,Service Desk - Non Sales
nbwlmtp1oldemeapfizercom Down Intel,GBL-WTI-AHS WINTEL L1
HR  Assign SAP roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SNOW limited access for Key User,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE NOTIFICATION Contract Worker Record Deactivation in One Month,Service Desk - Non Sales
Question about access on Trade folder in S Drive,Service Desk - Non Sales
one instance in chdcosdhn73eecloudnsnnetnet not booting up,SD_1stL_SD-UC_NSN_ENG_PH
Edge Site  Planned Server Room Shutdown at Site MELBOURNE HOSPIRA AUSTRALIA,GBL-WTI-AHS UNIX L1
Unable to launch  CARES application in Citrix,SD_UC_CoCare_NSN_GL
Unable to connect  server ASPVIZW005,GBL-WTI-AHS WINTEL L1
gsun760pfizercom Down Solaris Branded Zone,GBL-WTI-AHS UNIX L1
Extend E3 license for HQQ01085,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CM Country Lead accesses,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
The SSD disk of my lenovo T470 is faulty,SD_1stL_SD-UC_NSN_ENG_PH
DP Issue Failures for EMEA1  BS emaedcs095  CT edcemacls03b,GBL-WTI-AHS WINTEL L1
Barclays Ghana  BT,PZC-FJ-ServiceDesk
Invoice19007372 paying failed,I-Buy Process Support
IDoc processing getting locked  follow ,PZC-FJ-ServiceDesk
Veeva update stalling,Service Desk - Non Sales
BI report not picking up the forward dem,PZC-FJ-ServiceDesk
VPN  Remote Access Not able to connect to VPN using cisco anyconnect,SD_1stL_SD-UC_NSN_ENG_PH
PL  Add missing AD shared folder ,G SNOW PL SERVICE DESK
almemafil01emeapfizercom cpqTapeStatusChange Intel,GBL-WTI-AHS WINTEL L1
Collaborator  PLCM  Inventory ID already exists  request to delete,SD_UC_CoCare_NSN_GL
IT  Add the following roles in P  Q systems new Content Owners,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to access P drive,Service Desk - Non Sales
IT  users 2FA reset request,G SNOW IT SERVICE DESK
Unable to access BMC Remedy,SD_1stL_SD-UC_NSN_ENG_PH
Failed to search reffinements in enovia,SD_UC_CoCare_NSN_GL
Vine portal installed on iphone and ipad but not synching,Service Desk - Non Sales
amrndhw1995amerpfizercom Down Intel,GBL-WTI-AHS WINTEL L1
PL Please remove access to the SM1 ,G SNOW PL SERVICE DESK
DP issueFailures for EMEA1  BS emafreava001 GP FlatfilesUnixDaily2AM CT emafrel031,GBL-WTI-AHS UNIX L1
O365 Functional Mailbox  Not able to send as HR connection Eastasia,SD_UC_CoCare_NSN_GL
Red team trainingissues with wifi ,Service Desk - Non Sales
RP NSAUNIX Request20191204030037905,GBL-WTI-AHS UNIX L1
Position of mouse pointer does not match screen coordinates clicked,Service Desk - Non Sales
Incident No INC0361179 S Drive Access,Service Desk - GAM
Software Center Application List is Not Opening,SD_1stL_SD-UC_NSN_ENG_PH
Unable to RDP server,GBL-WTI-AHS WINTEL L1
P24 Validity ExpiredQuery,SD_UC_CoCare_NSN_GL
Issue Unable to login  enovia,SD_1stL_SD-UC_NSN_ENG_PH
Roles Correction Required to Secondary Account Jacobo Issac Lazcano Gomez1,SD_1stL_SD-UC_NSN_ENG_PH
Please provide access to robot user HPQCCHECK for FF VIRSAVFAT in p57,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
create login credentials for JIRA DC2,SD_1stL_SD-UC_NSN_ENG_PH
Unable to When the check results are ok activate CH in CDB and Enter your validation comment,SD_1stL_SD-UC_NSN_ENG_PH
amrndhs339pfizercom ProcessThe vxrelocd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
Unable to login to Bomgar Representative Console,Service Desk - GAM
VIM DP DOC ERROR,PZC-FJ-ServiceDesk
Reset password for HQ000976 in SAP,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL  Access to PoweApps and Microsoft Flow ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Change permissions to brendarpublishSubmissions ArchiveCertificates ,Service Desk - GAM
emaedcs082pfizercom ProcessThe automountd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
Data mismatch between Source NDP Deploy ie SiteFORGE database and EDP tables,SD_1stL_SD-UC_NSN_ENG_PH
Images to be added for the products from the order supply catalog for Germany,I-Buy Process Support
Missing condition ZMAN,PZC-FJ-ServiceDesk
user is unable to access url jiradc2extnetnokiacom,SD_UC_CoCare_NSN_GL
add company email address for RO913167,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Question regarding skype meeting from ipad,Service Desk - Non Sales
BGAdd needed roles for MIGO  Q02 ERP,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE TDM e files to upload into TDM  03172020,SD_1stL_SD-UC_NSN_ENG_PH
Steven needs to reinstate inbound numbe,PZC-FJ-ServiceDesk
Cannot access amrgros063,GBL-WTI-AHS UNIX L1
unable to access software license key,SD_UC_CoCare_NSN_GL
Integra Request 5186302533744116220Samrity Malhotra Issue in SAP BPP,SD_UC_CoCare_NSN_GL
Need assistance in setting up Dock ,Deskside Carnegie
Remove Unix access for mishrs90,GBL-WTI-AHS UNIX L1
Jabber softphone not working,SD_1stL_SD-UC_NSN_ENG_PH
G038310 WBS Structure Wrongly Created,SD_1stL_SD-UC_NSN_ENG_PH
Unable to install Windows 10 in Virtual Machine,SD_1stL_SD-UC_NSN_ENG_PH
Training users creation,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Software list is empty,SD_1stL_SD-UC_NSN_ENG_PH
BSO  transfer email to user ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Office 365     Outlook  Outlook error  not enough memory,SD_1stL_SD-UC_NSN_ENG_PH
SG  Unable to activate Visio app,SD_1stL_SD-UC_NSN_ENG_PH
Add SAP roles to RO001016 ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
ZRD3 Output Master Data  Access Sequenc,PZC-FJ-ServiceDesk
SAP BI Commercial PL  Promax Forecast D,PZC-FJ-ServiceDesk
Unable to login ,Service Desk - Non Sales
LISTSERV Issue blocked list grtsapaclistnokiacom,SD_1stL_SD-UC_NSN_ENG_PH
Error has occured while trying to login to Jira,SD_1stL_SD-UC_NSN_ENG_PH
Additional authorization for BY User ID,G SNOW RU SERVICE DESK
CZ  access to HEAD,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
hqfinance01 workstation special,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
546918  2019  XML invalid Format when ticking Notify Users by Email,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RP NSAUNIX Request20191008145154595,GBL-WTI-AHS UNIX L1
Granting access to SSF platform,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
iRep  Veeva questions ,Service Desk - Non Sales
Please reactivate user RO003815,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Laptop wont turnon,SD_1stL_SD-UC_NSN_ENG_PH
AMRSOMS070LDOM01FileSystem OverUtilized Guest LDOM,GBL-WTI-AHS UNIX L1
Address incorrect MC0000851596,Service Desk - Sales All
User Gets Change Password Page when entering in the Portal  wallacefariasoinetbr,SD_1stL_SD-UC_NSN_ENG_PH
Alliance Latency issue,SD_UC_CoCare_NSN_GL
SP Online Communities S3 account convertion,SD_UC_CoCare_NSN_GL
SNMPAgentserver18napacpfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
Max Strike Rate in BI OEE changing,PZC-FJ-ServiceDesk
Cant detail HCP,Service Desk - Sales All
SAP BPP Several BPP accounts printing jobs for no reason ,SD_UC_CoCare_NSN_GL
01 User Note able to log in Site forge In Play Ground  Please Support KTRN Rwanda Project,SD_1stL_SD-UC_NSN_ENG_PH
Cant open Alliance CDRFront End link in Citrix,SD_UC_CoCare_NSN_GL
Server support during migration,GBL-WTI-AHS WINTEL L1
BSO  MD Reporting and Analytics specialist SAC access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
O365 Functional Mailbox unable to see own functional mailbox in Outlook,SD_1stL_SD-UC_NSN_ENG_PH
Unable to access myHRportal,SD_1stL_SD-UC_NSN_ENG_PH
DE  Users image being displayed when business user receives email from Snow,SD_1stL_SD-UC_NSN_ENG_PH
Activate online archive and clean up dumpster folder for MikhailFedorovcchelleniccom,G SNOW RU SERVICE DESK
Request to Reset Password  ihlbc2ihlucentcom,SD_1stL_SD-UC_NSN_ENG_PH
RO  change email address user ROX13116,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Difficulty Esigning Document,Service Desk - Non Sales
NG  Temporary Office365 E1 License,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
usncsq3001dpfizercom Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
2 HCPs red x both have address attestations available ,Service Desk - Sales All
PL  Redirect number,G SNOW PL SERVICE DESK
Needing to convert PNG to JPEG on iPad for Orator ,Service Desk - Non Sales
Citrix Internet explorer issue ,SD_UC_CoCare_NSN_GL
intisa6002dpfizercom MultipleDeviceDown Intel VM Guest,GBL-WTI-AHS WINTEL L1
SharePoint Online SPO Secure external sharing of files and folders in SPO and One Drive in O365,SD_1stL_SD-UC_NSN_ENG_PH
RO  Add user to AD group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE UPDATE PLANNED MAINTENANCE ACTIVITY ・SAS Grid  ・Production and Test Environments will be UNAVAILABLE between Saturday June 27th 800 PM EST to Sunday J,Service Desk - Non Sales
GR  reset 2FA,G SNOW GR SERVICE DESK
SKU not accruing in Trading Term  INCIPAG064839,PZC-FJ-ServiceDesk
RP NSAUNIX Request20200115111345730,GBL-WTI-AHS UNIX L1
INC0392591  Missing Sample Lot,Service Desk - Sales All
Please delete account CrisisCommunicationcchelleniccom  see attached communication ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  Delete linesqoo table,G SNOW GR SERVICE DESK
RUEDI Please setup message ORDERS for customer TDPANORAMA,G SNOW RU SERVICE DESK
FW Unable to Access eLearns on iPad,Service Desk - Non Sales
Questions about PTO,Service Desk - Sales All
Unable to open folder in Citrix,SD_UC_CoCare_NSN_GL
Supplier 751913 ERNST AND YOUNG cannot be found in IBuy,I-Buy Process Support
Citrix An account is not configured,SD_1stL_SD-UC_NSN_ENG_PH
Unable to access res1lucentcomGROUPSAMSOondengnas02,SD_1stL_SD-UC_NSN_ENG_PH
invoices 2000045520000494 and 20000541 BPO 1495 rejected with contract not in invoicing state,I-Buy Process Support
Unblock ASO P3636711,SD_UC_CoCare_NSN_GL
Network drives not available,Service Desk - Non Sales
CCR Monitoring  Status as Z7 for product in GB11 for MO,PZC-FJ-ServiceDesk
several account cannot list buckets getting quota exceeded,SD_1stL_SD-UC_NSN_ENG_PH
URGENT HPQC access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
eLEARNING PIN updates,Service Desk - Non Sales
Whitelist sender and domain,G SNOW EXT ATOS IS MAILING ADMINS
Issues with Word,Service Desk - Non Sales
RO  Delete group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
I am not able to connect to the network,Service Desk - Non Sales
VPN  Remote Access  httpsvirtualservicesextnokiacomvpnindexhtml,SD_1stL_SD-UC_NSN_ENG_PH
amrbiww002amerpfizercom cpqHeFltTolPowerSupply Intel,GBL-WTI-AHS WINTEL L1
Change PR notification to have AUD instead of GBP,PZC-FJ-ServiceDesk
RP NSAUNIX Request20190904044603596,GBL-WTI-AHS UNIX L1
Request to reset the passowrd,Deskside Carnegie
Patching Issue PARTIALLY Win2003 523790 Result for GROAMRWEB185,GBL-WTI-AHS WINTEL L1
SNMPAgentamrndhs250pfizercom NotResponding Solaris Zone,GBL-WTI-AHS UNIX L1
Unable to receive some emails,Service Desk - Non Sales
I need access to One Drive,Service Desk - Non Sales
RP NSAUNIX Request20190917091758474,GBL-WTI-AHS UNIX L1
access Q34 Q35,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  Whitelist Email Addresses  Following RITM1030774,G SNOW EXT ATOS IS MAILING ADMINS
Laptop request for CW  Terri Adelstein,Service Desk - Non Sales
No data applicable for Plan Achievement BI report for TH10,PZC-FJ-ServiceDesk
SAPAMP Password reset,SD_UC_CoCare_NSN_GL
Please update CMDB,GBL-WTI-AHS WINTEL L1
amrdrms032mgmt2pfizercom Down Service LDOM,GBL-WTI-AHS UNIX L1
PO 9500002679 not transmitted to AN,I-Buy Process Support
STASK2048677  AD NT Emea Acount is Inactive,SD_1stL_SD-UC_NSN_ENG_PH
AT  SSF approval Kelly Komninou missing ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
outlook on phone,Service Desk - Non Sales
Missing Lawson BPISIS info for December19,SD_UC_CoCare_NSN_GL
DE  Outlook  Launching issue,SD_1stL_SD-UC_NSN_ENG_PH
IBuy account activation request,I-Buy Process Support
AjayTandonotsukauscomExpense report question,Service Desk - Non Sales
Quota exceeded error when trying to setup build l hzchon10chinansnnetnet,SD_UC_CoCare_NSN_GL
Sandbox login help for Salesforce ,Service Desk - Non Sales
New iPad is not up and running with the current Apple ID,Service Desk - Non Sales
PL  AD user account is still blocked,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IT Issue with IT3PL0127 ,G SNOW IT SERVICE DESK
Print Spool Hung,SD_UC_CoCare_NSN_GL
Outgoing calls barred and mobile data not working,SD_1stL_SD-UC_NSN_ENG_PH
Kanani Dilcher is not sample status ready,Service Desk - Non Sales
HP Printing  Replace Transfer kit and fuser kit Bangladesh ,SD_1stL_SD-UC_NSN_ENG_PH
Oracle access to responsibilites,Service Desk - Non Sales
AD user  correction,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to login to PWC,SD_UC_CoCare_NSN_GL
SSL VPN Certificate Renewal,SD_UC_CoCare_NSN_GL
BPP Login issue  for 100 user Chennai site,SD_UC_CoCare_NSN_GL
PO 4500028217 Cant entry,PZC-FJ-ServiceDesk
 Microsoft Teams Training,Deskside Carnegie
Access to Deepak Verma,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
AMRADWW021 Not Responding After Reboot Attempt,GBL-WTI-AHS WINTEL L1
saplogon pad not launching,SD_UC_CoCare_NSN_GL
VPN access for the users in the attachment,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE IOCs from Phishing emails review,Service Desk - Non Sales
AD account unlock,Service Desk - Non Sales
New iPhone  Setup Email and Authenticator,Service Desk - Non Sales
NG  Frequent MS Teams User in NG  Report Request,G SNOW EXT ATOS IS MAILING ADMINS
FW My Skype is not working Vamseekrishna19677,Service Desk - Non Sales
Cannt open Outlook  Onedrive,Service Desk - Non Sales
PL  LM for Q users,G SNOW PL SERVICE DESK
Access to Otsuka US eLearn,Service Desk - Non Sales
ndhamrcls46bamerpfizercom cpqClusterNode Intel,GBL-WTI-AHS WINTEL L1
Unable to access P drive,Service Desk - Non Sales
Different Forecast Figure  SNP vs APO D,PZC-FJ-ServiceDesk
RP NSAUNIX Request20191122093551464,GBL-WTI-AHS UNIX L1
PL  PR 1522686807,G SNOW PL SERVICE DESK
Update company address information,PZC-FJ-ServiceDesk
Deployment has failed for GB1020,PZC-FJ-ServiceDesk
ATHQ  new mailing list,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Alliance down unable to access,SD_UC_CoCare_NSN_GL
Incorrect current agents have invoices in their name This means current AP team,PZC-FJ-ServiceDesk
Support Portal  Password renewal failed,SD_1stL_SD-UC_NSN_ENG_PH
AnyConnect  certificate validation failure ,SD_1stL_SD-UC_NSN_ENG_PH
Patching Issue PARTIALLY Win2003 523790 Result for AMRNDHW1515,GBL-WTI-AHS WINTEL L1
ORIOM account check,Service Desk - Non Sales
IT  EMail Threat Subject Urgent  Billing Statement is available  Check Your Acount,G SNOW IT SERVICE DESK
Password issues on laptop,Service Desk - Non Sales
Video Conferencing description of the issue,SD_1stL_SD-UC_NSN_ENG_PH
hqsw0049hospiracorp Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
GDC Incident Unable to login Zambia U2000 IP1017317791,SD_UC_CoCare_NSN_GL
Nokiauser role assignment ,I-Buy Process Support
Reminder 3 Fiori Access,PZC-FJ-ServiceDesk
NAIP interface error,SD_1stL_SD-UC_NSN_ENG_PH
RO  Revoke checkin reverse authorization,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
 AP01 account password renew issue,SD_UC_CoCare_NSN_GL
OneDrive install and Excel File open from Email,Service Desk - Non Sales
Add to blacklist domen assessfirstcom ,G SNOW RU SERVICE DESK
DP Issue Failures for AMER5c  BS amrdrml059  CT hqsa0720q,GBL-WTI-AHS WINTEL L1
PL add roles ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Issue with login in Lotus for user AM000817,G SNOW RU SERVICE DESK
The listed servers where running 5 months back and we need these to be online again,SD_1stL_SD-UC_NSN_ENG_PH
HQQ00987 BSR password reset,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
101751580  is not accessible from httpshepiosdhn100nescnokianet,SD_1stL_SD-UC_NSN_ENG_PH
O365 Mailbox Unable to SendReceive emails FW GSS 2020 Case Status –Wk420  Mail inclusion,SD_1stL_SD-UC_NSN_ENG_PH
Need to install Outlook on iPad,Service Desk - Non Sales
IT  assign AD groups,G SNOW IT SERVICE DESK
